t,s1_ax,s1_ay,s1_az,s1_gx,s1_gy,s1_gz,s2_ax,s2_ay,s2_az,s2_gx,s2_gy,s2_gz,s3_ax,s3_ay,s3_az,s3_gx,s3_gy,s3_gz,s4_ax,s4_ay,s4_az,s4_gx,s4_gy,s4_gz
0.0,-7.8975725,-5.824779,-0.053203855,0.0062730126,-0.0016305761,0.003615815,-0.12682053,5.2822604,8.256628,-0.007869181,0.009898772,0.001183703,9.718233,-1.3229843,-0.29316342,-0.0040441337,-0.004807876,0.009179299,6.189439,-7.3625803,-1.9510727,-0.007859702,-0.010355835,0.015041315
0.01923077,-7.8966355,-5.819836,-0.058955807,0.0080638295,-0.0038782358,-0.0042001903,-0.1122494,5.2882757,8.275768,-0.0117196385,0.005774984,0.007637495,9.708206,-1.3113676,-0.31340307,-0.0038569185,-0.005172412,0.012495586,6.179374,-7.350434,-1.949067,-0.0064134574,-0.011005126,0.008299165
0.03846154,-7.8849473,-5.8183613,-0.059590176,0.00077878684,-0.006122391,-0.0036299904,-0.12142711,5.2854066,8.261693,-0.004864926,0.012033477,0.0132048875,9.712119,-1.3244307,-0.29699826,-0.007474039,0.006449061,0.025950411,6.1750135,-7.3681955,-1.9623863,-0.0094152745,0.002021165,0.012375852
0.057692308,-7.8901105,-5.8360667,-0.04710877,-0.000214546,-0.006365139,-0.004897068,-0.099580824,5.2798443,8.277272,-0.00096568064,0.0059980415,0.0004987967,9.720585,-1.3290442,-0.3049367,-0.0013484893,0.004775182,0.022973942,6.2079115,-7.3686247,-1.9700565,0.0031428956,-0.0044025155,0.01080208
0.07692308,-7.8855314,-5.8176003,-0.056488138,-0.00638334,-0.0073075215,-0.0075922566,-0.10345581,5.2844367,8.259201,-0.00883529,0.012201986,0.004214477,9.738181,-1.3299625,-0.29565188,-0.021143813,-0.0038629188,0.024520583,6.1828184,-7.358688,-1.9596223,0.00026233922,-0.012333542,0.005836682
0.09615385,-7.894549,-5.822472,-0.05057868,0.00024612265,-0.0009851692,-0.008138505,-0.08696596,5.273915,8.263493,-0.011018022,0.0073480923,0.011287311,9.725021,-1.3261241,-0.2928867,-0.010094769,0.006327696,0.028156837,6.19917,-7.357579,-1.9554659,-0.00461553,0.0015376108,0.009353325
0.115384616,-7.8922668,-5.8253627,-0.06134943,-0.005405488,-0.0028111136,-0.0036177188,-0.08841366,5.2735543,8.269146,-0.0027387978,0.007993317,0.008276124,9.734756,-1.333426,-0.29183334,-0.007984587,-0.0024668528,0.014004745,6.1835194,-7.3538585,-1.949723,-0.0078933155,-0.0015211168,0.0023998537
0.13461539,-7.8694706,-5.8380995,-0.047790915,-0.0039220224,-0.0016659694,-0.012211632,-0.08937291,5.2872825,8.2558,-0.007566037,0.016863728,0.003407426,9.725404,-1.3328785,-0.286247,-0.0027498135,-0.00077143946,0.008050414,6.1746283,-7.351474,-1.9471617,-0.010170014,-0.007841563,0.008305258
0.15384616,-7.8611474,-5.817576,-0.055951092,0.010151281,-0.0018366631,-0.0056021255,-0.059959304,5.288642,8.267707,-0.012173136,0.016441163,0.0023296697,9.728516,-1.3174419,-0.3062369,-0.0026716914,0.0016691629,0.0092209345,6.20971,-7.3620443,-1.957265,-0.010227976,0.00046811943,0.0030727743
0.17307693,-7.8763056,-5.8235407,-0.057453003,0.011156774,0.0017468932,-0.0036623615,-0.08214276,5.28401,8.260335,-0.0088199405,0.0033634014,0.0016570779,9.747157,-1.3141289,-0.28260744,-0.011311044,-0.008067293,0.015898233,6.1906967,-7.3601394,-1.9460196,-0.006622165,-0.0032790222,0.0007591919
0.1923077,-7.8444333,-5.8257194,-0.04093298,0.005649204,0.0008288258,0.002002909,-0.06616315,5.282936,8.273925,-0.0020978942,0.007566113,0.006507877,9.756457,-1.325319,-0.28750387,-0.001995838,0.0017319791,0.020216597,6.189159,-7.3724513,-1.956961,-0.0033435973,0.0069130026,0.015511399
0.21153846,-7.8462057,-5.8185425,-0.05838168,-0.003405981,-0.0008690604,-0.0070396126,-0.052427825,5.274465,8.238555,-0.0027877532,0.0046941717,0.012495279,9.7351,-1.3211643,-0.28453225,-0.015521937,0.010484408,0.016456282,6.243903,-7.3508735,-1.9611949,-0.00439733,-0.0019919956,0.008041151
0.23076923,-7.8261175,-5.8342724,-0.051425558,0.002160706,0.009484877,-0.011379057,-0.06570207,5.280656,8.258985,-0.012839377,0.012364192,0.006468122,9.791341,-1.3264337,-0.30345133,0.0010071375,0.0013241211,0.01785497,6.2401915,-7.3719006,-1.9582232,-0.010709448,-0.0026128164,0.008354505
0.25,-7.8335757,-5.818852,-0.063406065,0.0042694183,0.010027763,-0.0025442506,-0.0010650243,5.285195,8.270084,-0.0016997594,0.010402991,0.0025662936,9.776413,-1.3363729,-0.28790227,-0.0075526023,0.010033412,0.012584802,6.2653313,-7.3527193,-1.9547645,-0.0018337629,0.005323537,0.010721103
0.26923078,-7.7815557,-5.8192472,-0.045174167,0.0038177103,0.006791874,-0.010137117,-0.0037351141,5.2690954,8.259772,-0.008929853,0.014437335,0.0029153235,9.795259,-1.3397398,-0.29866183,-0.0059776967,0.015381316,0.0155220125,6.2791615,-7.3536587,-1.9606229,-0.0037156956,0.010927851,0.009555095
0.28846154,-7.7556105,-5.81335,-0.03212956,0.0037649397,0.007018651,-0.0050888653,0.023031676,5.2756276,8.242599,-0.013877933,0.028867092,0.013771781,9.831547,-1.3241,-0.30436546,-0.019319247,0.009276659,0.012935899,6.3041263,-7.358696,-1.9420222,-0.0043282644,0.005243032,0.015137355
0.30769232,-7.732816,-5.834861,-0.041544445,0.004596655,0.015068983,-0.002047883,0.053429667,5.2763834,8.25649,-0.0063613504,0.022883408,0.007927306,9.842498,-1.3110353,-0.2982017,-0.0098060565,0.013533865,0.011809702,6.3384933,-7.3565497,-1.9542896,0.0008278043,0.00059665804,0.010828023
