t,s1_ax,s1_ay,s1_az,s1_gx,s1_gy,s1_gz,s2_ax,s2_ay,s2_az,s2_gx,s2_gy,s2_gz,s3_ax,s3_ay,s3_az,s3_gx,s3_gy,s3_gz,s4_ax,s4_ay,s4_az,s4_gx,s4_gy,s4_gz
0.0,-4.7386575,5.3506064,6.7071867,0.0061082914,0.007476623,0.00014559028,-9.541701,1.8822867,-1.230335,-0.002109089,0.0062519284,-0.0040916554,-9.347389,-2.578201,-1.3688141,-0.006683608,0.004403321,0.00039901698,5.62144,4.167383,6.849579,0.01202031,-0.0014388973,0.011509179
0.01923077,-4.739492,5.360439,6.726009,0.008239844,0.009312079,0.0037717482,-9.535341,1.899064,-1.2327628,-0.0026026391,0.0031584648,-0.0033362147,-9.385097,-2.5956907,-1.3812474,-0.0030016608,-0.0051634787,-0.0024975515,5.61209,4.1809735,6.8595204,0.0082493,0.00047909524,0.011388706
0.03846154,-4.7289486,5.3658395,6.7104006,0.0018521963,0.012401085,-0.0075098737,-9.552556,1.8987591,-1.2200513,-0.0016424764,-0.0019672103,-0.007728078,-9.398966,-2.570767,-1.386363,-0.0013930084,0.001530189,0.003860216,5.601708,4.191157,6.8569064,0.008259062,-0.00034468135,0.011915799
0.057692308,-4.708387,5.3613663,6.7179747,0.0002078652,0.013677135,0.004015789,-9.555221,1.9206775,-1.2606609,-0.0021666382,-0.00012959713,-0.010589666,-9.371328,-2.5730217,-1.3695737,-0.00017077343,-0.0030832381,-0.00034693957,5.6281414,4.1859937,6.8561964,0.0048792823,0.0036928365,0.016667048
0.07692308,-4.7382503,5.365516,6.7002635,-0.0018572919,0.009344646,0.0034747934,-9.541862,1.8947169,-1.2459903,0.003241359,0.0014935348,-0.00986848,-9.381865,-2.5792763,-1.3956009,-0.003941263,-0.0031449578,0.0023457727,5.6437554,4.185566,6.853373,0.013453755,0.0008438015,0.014652107
0.09615385,-4.752528,5.366494,6.7256823,0.0049209804,0.0144541925,-0.0048893765,-9.542014,1.8964311,-1.2645881,-0.003961971,-0.0005315372,-0.0069411676,-9.359019,-2.5873091,-1.3658239,-0.0014870855,-0.00024382192,0.0064618946,5.644214,4.2083936,6.8621793,0.014101542,0.00057243014,0.013766326
0.115384616,-4.730616,5.360768,6.709391,-0.006403861,0.0047703297,0.009024675,-9.546373,1.9041218,-1.2253206,-0.003426229,0.0018213239,-0.0023364073,-9.382261,-2.5482218,-1.3789064,-0.0022187869,-0.003914396,0.0036980163,5.6333504,4.1899934,6.8492455,0.010005962,0.0054121604,0.0090452805
0.13461539,-4.735151,5.381229,6.707564,0.0013523177,0.006610309,-0.0014188958,-9.529426,1.9104022,-1.225626,-0.002030272,0.004170842,-0.0021798934,-9.371145,-2.5688367,-1.3696053,0.0032937683,-0.002078424,-0.00048758418,5.6407366,4.2015114,6.832081,0.007056666,0.000739583,0.013704452
0.15384616,-4.7383485,5.3691287,6.7132373,-0.0014617852,0.01334754,-0.002447269,-9.551083,1.9063166,-1.2184976,-0.0036513167,-0.0010303567,-0.008032854,-9.36448,-2.5876653,-1.3860102,-0.0016190464,-0.0010651235,0.0056502735,5.635289,4.1881123,6.852611,0.0053122537,0.00047816007,0.01476328
0.17307693,-4.717931,5.365474,6.7082596,0.0028054912,0.012361745,0.002550106,-9.549467,1.9138048,-1.2279822,-0.006639075,0.0010284565,-0.002232467,-9.3802,-2.5888226,-1.367685,-0.004718673,-0.0022871671,0.0047994307,5.6244907,4.1843348,6.878915,0.011235901,-0.0036845743,0.013975106
0.1923077,-4.738197,5.367663,6.7005334,-0.0009078056,0.0064782584,-0.0040735737,-9.5467615,1.9334202,-1.2154199,0.00075399067,-0.0005333461,-0.0071842377,-9.353157,-2.5674636,-1.3622007,-0.0036943725,0.0042766896,0.0069808564,5.621411,4.203417,6.875292,0.01227491,0.0018192335,0.011693927
0.21153846,-4.7389317,5.3821716,6.6971903,-0.0003151277,0.015704691,0.0012053162,-9.554308,1.9173919,-1.224203,0.00086258847,0.0013233686,-0.008348084,-9.33764,-2.5759194,-1.4013323,-0.009814751,0.004505018,0.0076755644,5.5967093,4.183153,6.864723,0.013178289,-0.00071250374,0.011211379
0.23076923,-4.7189584,5.373503,6.709393,-0.0053280215,0.008146986,-0.0012588049,-9.532937,1.9042479,-1.202233,0.0007885164,-0.002916309,-0.005093895,-9.34587,-2.5795846,-1.3854082,-0.003842162,-0.0021353732,0.0046454864,5.6073437,4.191494,6.871897,0.008193334,0.005564473,0.016482845
0.25,-4.7302647,5.3620286,6.7151704,-0.00115326,0.005360507,0.0006083787,-9.553502,1.9058805,-1.232715,-0.004185855,-0.0016139783,-0.006966027,-9.342369,-2.5801458,-1.3755534,-0.0032191626,-0.0030088576,0.0019862938,5.6233478,4.205823,6.8798976,0.004569282,0.002465079,0.013521227
0.26923078,-4.7216105,5.3439913,6.7152257,-0.00189486,0.0158607,-0.0011282669,-9.513583,1.9158156,-1.2255918,-0.0003896435,-1.796773e-05,-0.008384876,-9.365448,-2.5712898,-1.3958025,-0.008197009,-0.0002615314,0.0013950153,5.6016946,4.2015486,6.843487,0.0077379346,0.0051897326,0.011581676
0.28846154,-4.732052,5.366068,6.7088904,-0.0065119024,0.011427953,-0.0012247736,-9.549407,1.8909507,-1.2251035,0.00057468406,0.0060699643,-0.0075700027,-9.345891,-2.5730383,-1.3666767,-0.006136364,-0.00995198,0.0040653273,5.6298223,4.1684413,6.8336196,0.0073966333,1.4735345e-05,0.010449209
0.30769232,-4.73161,5.346689,6.7036157,-0.005720677,0.016053312,-0.003766937,-9.531965,1.896148,-1.2539814,-0.0043231547,-0.00019897996,-0.009237523,-9.341657,-2.5792222,-1.361265,-0.0034989277,-0.0043400205,0.00023352166,5.620593,4.2082057,6.8485417,0.0051850076,-0.0046235374,0.01362329
0.32692307,-4.7342124,5.3681526,6.6987395,-0.0009175368,0.016442109,-0.001641843,-9.538366,1.9118707,-1.2135321,-0.006780041,0.0013451627,-0.007922967,-9.362706,-2.5618892,-1.3741913,-0.009129581,-0.0014300643,0.0035212715,5.645043,4.2111797,6.857118,0.010229415,0.0047843433,0.004302603
0.34615386,-4.7346926,5.366436,6.7007904,0.0054908837,0.008155983,0.0030833608,-9.538609,1.8845146,-1.2294737,0.0032523202,0.0036110564,-0.010854991,-9.380783,-2.5813687,-1.3659639,-0.0031103247,-0.002646606,0.0053600194,5.6206,4.1817994,6.855803,0.014292497,0.0027680583,0.013968221
0.3653846,-4.730112,5.3508067,6.716522,-0.0019237249,0.015112701,0.0038370218,-9.538726,1.9425122,-1.23634,-0.0013379605,-0.0006666349,-0.009196973,-9.362783,-2.5758452,-1.3916857,0.0020785353,0.0010286559,-0.0012213958,5.6162677,4.201051,6.853935,0.0053090677,0.005915255,0.017062293
